filepath,filename,emotion,actor,intensity,gender
D://Speech Project//raw\Actor_01\03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav,fearful,01,strong,male
D://Speech Project//raw\Actor_01\03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav,fearful,01,strong,male
D://Speech Project//raw\Actor_01\03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav,fearful,01,strong,male
D://Speech Project//raw\Actor_01\03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,disgust,01,normal,male
D://Speech Project//raw\Actor_01\03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,disgust,01,normal,male
D://Speech Project//raw\Actor_01\03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,disgust,01,normal,male
D://Speech Project//raw\Actor_01\03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,disgust,01,normal,male
D://Speech Project//raw\Actor_01\03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav,disgust,01,strong,male
D://Speech Project//raw\Actor_01\03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,disgust,01,strong,male
D://Speech Project//raw\Actor_01\03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,disgust,01,strong,male
D://Speech Project//raw\Actor_01\03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,disgust,01,strong,male
D://Speech Project//raw\Actor_01\03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01.wav,surprised,01,normal,male
D://Speech Project//raw\Actor_01\03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01.wav,surprised,01,normal,male
D://Speech Project//raw\Actor_01\03-01-08-01-02-01-01.wav,03-01-08-01-02-01-01.wav,surprised,01,normal,male
D://Speech Project//raw\Actor_01\03-01-08-01-02-02-01.wav,03-01-08-01-02-02-01.wav,surprised,01,normal,male
D://Speech Project//raw\Actor_01\03-01-08-02-01-01-01.wav,03-01-08-02-01-01-01.wav,surprised,01,strong,male
D://Speech Project//raw\Actor_01\03-01-08-02-01-02-01.wav,03-01-08-02-01-02-01.wav,surprised,01,strong,male
D://Speech Project//raw\Actor_01\03-01-08-02-02-01-01.wav,03-01-08-02-02-01-01.wav,surprised,01,strong,male
D://Speech Project//raw\Actor_01\03-01-08-02-02-02-01.wav,03-01-08-02-02-02-01.wav,surprised,01,strong,male
D://Speech Project//raw\Actor_02\03-01-01-01-01-01-02.wav,03-01-01-01-01-01-02.wav,neutral,02,normal,female
D://Speech Project//raw\Actor_02\03-01-01-01-01-02-02.wav,03-01-01-01-01-02-02.wav,neutral,02,normal,female
D://Speech Project//raw\Actor_02\03-01-01-01-02-01-02.wav,03-01-01-01-02-01-02.wav,neutral,02,normal,female
D://Speech Project//raw\Actor_02\03-01-01-01-02-02-02.wav,03-01-01-01-02-02-02.wav,neutral,02,normal,female
D://Speech Project//raw\Actor_02\03-01-02-01-01-01-02.wav,03-01-02-01-01-01-02.wav,calm,02,normal,female
D://Speech Project//raw\Actor_02\03-01-02-01-01-02-02.wav,03-01-02-01-01-02-02.wav,calm,02,normal,female
D://Speech Project//raw\Actor_02\03-01-02-01-02-01-02.wav,03-01-02-01-02-01-02.wav,calm,02,normal,female
D://Speech Project//raw\Actor_02\03-01-02-01-02-02-02.wav,03-01-02-01-02-02-02.wav,calm,02,normal,female
D://Speech Project//raw\Actor_02\03-01-02-02-01-01-02.wav,03-01-02-02-01-01-02.wav,calm,02,strong,female
D://Speech Project//raw\Actor_02\03-01-02-02-01-02-02.wav,03-01-02-02-01-02-02.wav,calm,02,strong,female
D://Speech Project//raw\Actor_02\03-01-02-02-02-01-02.wav,03-01-02-02-02-01-02.wav,calm,02,strong,female
D://Speech Project//raw\Actor_02\03-01-02-02-02-02-02.wav,03-01-02-02-02-02-02.wav,calm,02,strong,female
D://Speech Project//raw\Actor_02\03-01-03-01-01-01-02.wav,03-01-03-01-01-01-02.wav,happy,02,normal,female
D://Speech Project//raw\Actor_02\03-01-03-01-01-02-02.wav,03-01-03-01-01-02-02.wav,happy,02,normal,female
D://Speech Project//raw\Actor_02\03-01-03-01-02-01-02.wav,03-01-03-01-02-01-02.wav,happy,02,normal,female
D://Speech Project//raw\Actor_02\03-01-03-01-02-02-02.wav,03-01-03-01-02-02-02.wav,happy,02,normal,female
D://Speech Project//raw\Actor_02\03-01-03-02-01-01-02.wav,03-01-03-02-01-01-02.wav,happy,02,strong,female
D://Speech Project//raw\Actor_02\03-01-03-02-01-02-02.wav,03-01-03-02-01-02-02.wav,happy,02,strong,female
D://Speech Project//raw\Actor_02\03-01-03-02-02-01-02.wav,03-01-03-02-02-01-02.wav,happy,02,strong,female
D://Speech Project//raw\Actor_02\03-01-03-02-02-02-02.wav,03-01-03-02-02-02-02.wav,happy,02,strong,female
D://Speech Project//raw\Actor_02\03-01-04-01-01-01-02.wav,03-01-04-01-01-01-02.wav,sad,02,normal,female
D://Speech Project//raw\Actor_02\03-01-04-01-01-02-02.wav,03-01-04-01-01-02-02.wav,sad,02,normal,female
D://Speech Project//raw\Actor_02\03-01-04-01-02-01-02.wav,03-01-04-01-02-01-02.wav,sad,02,normal,female
D://Speech Project//raw\Actor_02\03-01-04-01-02-02-02.wav,03-01-04-01-02-02-02.wav,sad,02,normal,female
D://Speech Project//raw\Actor_02\03-01-04-02-01-01-02.wav,03-01-04-02-01-01-02.wav,sad,02,strong,female
D://Speech Project//raw\Actor_02\03-01-04-02-01-02-02.wav,03-01-04-02-01-02-02.wav,sad,02,strong,female
D://Speech Project//raw\Actor_02\03-01-04-02-02-01-02.wav,03-01-04-02-02-01-02.wav,sad,02,strong,female
D://Speech Project//raw\Actor_02\03-01-04-02-02-02-02.wav,03-01-04-02-02-02-02.wav,sad,02,strong,female
D://Speech Project//raw\Actor_02\03-01-05-01-01-01-02.wav,03-01-05-01-01-01-02.wav,angry,02,normal,female
D://Speech Project//raw\Actor_02\03-01-05-01-01-02-02.wav,03-01-05-01-01-02-02.wav,angry,02,normal,female
D://Speech Project//raw\Actor_02\03-01-05-01-02-01-02.wav,03-01-05-01-02-01-02.wav,angry,02,normal,female
D://Speech Project//raw\Actor_02\03-01-05-01-02-02-02.wav,03-01-05-01-02-02-02.wav,angry,02,normal,female
D://Speech Project//raw\Actor_02\03-01-05-02-01-01-02.wav,03-01-05-02-01-01-02.wav,angry,02,strong,female
D://Speech Project//raw\Actor_02\03-01-05-02-01-02-02.wav,03-01-05-02-01-02-02.wav,angry,02,strong,female
D://Speech Project//raw\Actor_02\03-01-05-02-02-01-02.wav,03-01-05-02-02-01-02.wav,angry,02,strong,female
D://Speech Project//raw\Actor_02\03-01-05-02-02-02-02.wav,03-01-05-02-02-02-02.wav,angry,02,strong,female
D://Speech Project//raw\Actor_02\03-01-06-01-01-01-02.wav,03-01-06-01-01-01-02.wav,fearful,02,normal,female
D://Speech Project//raw\Actor_02\03-01-06-01-01-02-02.wav,03-01-06-01-01-02-02.wav,fearful,02,normal,female
D://Speech Project//raw\Actor_02\03-01-06-01-02-01-02.wav,03-01-06-01-02-01-02.wav,fearful,02,normal,female
D://Speech Project//raw\Actor_02\03-01-06-01-02-02-02.wav,03-01-06-01-02-02-02.wav,fearful,02,normal,female
D://Speech Project//raw\Actor_02\03-01-06-02-01-01-02.wav,03-01-06-02-01-01-02.wav,fearful,02,strong,female
D://Speech Project//raw\Actor_02\03-01-06-02-01-02-02.wav,03-01-06-02-01-02-02.wav,fearful,02,strong,female
D://Speech Project//raw\Actor_02\03-01-06-02-02-01-02.wav,03-01-06-02-02-01-02.wav,fearful,02,strong,female
D://Speech Project//raw\Actor_02\03-01-06-02-02-02-02.wav,03-01-06-02-02-02-02.wav,fearful,02,strong,female
D://Speech Project//raw\Actor_02\03-01-07-01-01-01-02.wav,03-01-07-01-01-01-02.wav,disgust,02,normal,female
D://Speech Project//raw\Actor_02\03-01-07-01-01-02-02.wav,03-01-07-01-01-02-02.wav,disgust,02,normal,female
D://Speech Project//raw\Actor_02\03-01-07-01-02-01-02.wav,03-01-07-01-02-01-02.wav,disgust,02,normal,female
D://Speech Project//raw\Actor_02\03-01-07-01-02-02-02.wav,03-01-07-01-02-02-02.wav,disgust,02,normal,female
D://Speech Project//raw\Actor_02\03-01-07-02-01-01-02.wav,03-01-07-02-01-01-02.wav,disgust,02,strong,female
D://Speech Project//raw\Actor_02\03-01-07-02-01-02-02.wav,03-01-07-02-01-02-02.wav,disgust,02,strong,female
D://Speech Project//raw\Actor_02\03-01-07-02-02-01-02.wav,03-01-07-02-02-01-02.wav,disgust,02,strong,female
D://Speech Project//raw\Actor_02\03-01-07-02-02-02-02.wav,03-01-07-02-02-02-02.wav,disgust,02,strong,female
D://Speech Project//raw\Actor_02\03-01-08-01-01-01-02.wav,03-01-08-01-01-01-02.wav,surprised,02,normal,female
D://Speech Project//raw\Actor_02\03-01-08-01-01-02-02.wav,03-01-08-01-01-02-02.wav,surprised,02,normal,female
D://Speech Project//raw\Actor_02\03-01-08-01-02-01-02.wav,03-01-08-01-02-01-02.wav,surprised,02,normal,female
D://Speech Project//raw\Actor_02\03-01-08-01-02-02-02.wav,03-01-08-01-02-02-02.wav,surprised,02,normal,female
D://Speech Project//raw\Actor_02\03-01-08-02-01-01-02.wav,03-01-08-02-01-01-02.wav,surprised,02,strong,female
D://Speech Project//raw\Actor_02\03-01-08-02-01-02-02.wav,03-01-08-02-01-02-02.wav,surprised,02,strong,female
D://Speech Project//raw\Actor_02\03-01-08-02-02-01-02.wav,03-01-08-02-02-01-02.wav,surprised,02,strong,female
D://Speech Project//raw\Actor_02\03-01-08-02-02-02-02.wav,03-01-08-02-02-02-02.wav,surprised,02,strong,female
D://Speech Project//raw\Actor_03\03-01-01-01-01-01-03.wav,03-01-01-01-01-01-03.wav,neutral,03,normal,male
D://Speech Project//raw\Actor_03\03-01-01-01-01-02-03.wav,03-01-01-01-01-02-03.wav,neutral,03,normal,male
D://Speech Project//raw\Actor_03\03-01-01-01-02-01-03.wav,03-01-01-01-02-01-03.wav,neutral,03,normal,male
D://Speech Project//raw\Actor_03\03-01-01-01-02-02-03.wav,03-01-01-01-02-02-03.wav,neutral,03,normal,male
D://Speech Project//raw\Actor_03\03-01-02-01-01-01-03.wav,03-01-02-01-01-01-03.wav,calm,03,normal,male
D://Speech Project//raw\Actor_03\03-01-02-01-01-02-03.wav,03-01-02-01-01-02-03.wav,calm,03,normal,male
D://Speech Project//raw\Actor_03\03-01-02-01-02-01-03.wav,03-01-02-01-02-01-03.wav,calm,03,normal,male
D://Speech Project//raw\Actor_03\03-01-02-01-02-02-03.wav,03-01-02-01-02-02-03.wav,calm,03,normal,male
D://Speech Project//raw\Actor_03\03-01-02-02-01-01-03.wav,03-01-02-02-01-01-03.wav,calm,03,strong,male
D://Speech Project//raw\Actor_03\03-01-02-02-01-02-03.wav,03-01-02-02-01-02-03.wav,calm,03,strong,male
D://Speech Project//raw\Actor_03\03-01-02-02-02-01-03.wav,03-01-02-02-02-01-03.wav,calm,03,strong,male
D://Speech Project//raw\Actor_03\03-01-02-02-02-02-03.wav,03-01-02-02-02-02-03.wav,calm,03,strong,male
D://Speech Project//raw\Actor_03\03-01-03-01-01-01-03.wav,03-01-03-01-01-01-03.wav,happy,03,normal,male
D://Speech Project//raw\Actor_03\03-01-03-01-01-02-03.wav,03-01-03-01-01-02-03.wav,happy,03,normal,male
D://Speech Project//raw\Actor_03\03-01-03-01-02-01-03.wav,03-01-03-01-02-01-03.wav,happy,03,normal,male
D://Speech Project//raw\Actor_03\03-01-03-01-02-02-03.wav,03-01-03-01-02-02-03.wav,happy,03,normal,male
D://Speech Project//raw\Actor_03\03-01-03-02-01-01-03.wav,03-01-03-02-01-01-03.wav,happy,03,strong,male
D://Speech Project//raw\Actor_03\03-01-03-02-01-02-03.wav,03-01-03-02-01-02-03.wav,happy,03,strong,male
D://Speech Project//raw\Actor_03\03-01-03-02-02-01-03.wav,03-01-03-02-02-01-03.wav,happy,03,strong,male
D://Speech Project//raw\Actor_03\03-01-03-02-02-02-03.wav,03-01-03-02-02-02-03.wav,happy,03,strong,male
D://Speech Project//raw\Actor_03\03-01-04-01-01-01-03.wav,03-01-04-01-01-01-03.wav,sad,03,normal,male
D://Speech Project//raw\Actor_03\03-01-04-01-01-02-03.wav,03-01-04-01-01-02-03.wav,sad,03,normal,male
D://Speech Project//raw\Actor_03\03-01-04-01-02-01-03.wav,03-01-04-01-02-01-03.wav,sad,03,normal,male
D://Speech Project//raw\Actor_03\03-01-04-01-02-02-03.wav,03-01-04-01-02-02-03.wav,sad,03,normal,male
D://Speech Project//raw\Actor_03\03-01-04-02-01-01-03.wav,03-01-04-02-01-01-03.wav,sad,03,strong,male
D://Speech Project//raw\Actor_03\03-01-04-02-01-02-03.wav,03-01-04-02-01-02-03.wav,sad,03,strong,male
D://Speech Project//raw\Actor_03\03-01-04-02-02-01-03.wav,03-01-04-02-02-01-03.wav,sad,03,strong,male
D://Speech Project//raw\Actor_03\03-01-04-02-02-02-03.wav,03-01-04-02-02-02-03.wav,sad,03,strong,male
D://Speech Project//raw\Actor_03\03-01-05-01-01-01-03.wav,03-01-05-01-01-01-03.wav,angry,03,normal,male
D://Speech Project//raw\Actor_03\03-01-05-01-01-02-03.wav,03-01-05-01-01-02-03.wav,angry,03,normal,male
D://Speech Project//raw\Actor_03\03-01-05-01-02-01-03.wav,03-01-05-01-02-01-03.wav,angry,03,normal,male
D://Speech Project//raw\Actor_03\03-01-05-01-02-02-03.wav,03-01-05-01-02-02-03.wav,angry,03,normal,male
D://Speech Project//raw\Actor_03\03-01-05-02-01-01-03.wav,03-01-05-02-01-01-03.wav,angry,03,strong,male
D://Speech Project//raw\Actor_03\03-01-05-02-01-02-03.wav,03-01-05-02-01-02-03.wav,angry,03,strong,male
D://Speech Project//raw\Actor_03\03-01-05-02-02-01-03.wav,03-01-05-02-02-01-03.wav,angry,03,strong,male
D://Speech Project//raw\Actor_03\03-01-05-02-02-02-03.wav,03-01-05-02-02-02-03.wav,angry,03,strong,male
D://Speech Project//raw\Actor_03\03-01-06-01-01-01-03.wav,03-01-06-01-01-01-03.wav,fearful,03,normal,male
D://Speech Project//raw\Actor_03\03-01-06-01-01-02-03.wav,03-01-06-01-01-02-03.wav,fearful,03,normal,male
D://Speech Project//raw\Actor_03\03-01-06-01-02-01-03.wav,03-01-06-01-02-01-03.wav,fearful,03,normal,male
D://Speech Project//raw\Actor_03\03-01-06-01-02-02-03.wav,03-01-06-01-02-02-03.wav,fearful,03,normal,male
D://Speech Project//raw\Actor_03\03-01-06-02-01-01-03.wav,03-01-06-02-01-01-03.wav,fearful,03,strong,male
D://Speech Project//raw\Actor_03\03-01-06-02-01-02-03.wav,03-01-06-02-01-02-03.wav,fearful,03,strong,male
D://Speech Project//raw\Actor_03\03-01-06-02-02-01-03.wav,03-01-06-02-02-01-03.wav,fearful,03,strong,male
D://Speech Project//raw\Actor_03\03-01-06-02-02-02-03.wav,03-01-06-02-02-02-03.wav,fearful,03,strong,male
D://Speech Project//raw\Actor_03\03-01-07-01-01-01-03.wav,03-01-07-01-01-01-03.wav,disgust,03,normal,male
D://Speech Project//raw\Actor_03\03-01-07-01-01-02-03.wav,03-01-07-01-01-02-03.wav,disgust,03,normal,male
D://Speech Project//raw\Actor_03\03-01-07-01-02-01-03.wav,03-01-07-01-02-01-03.wav,disgust,03,normal,male
D://Speech Project//raw\Actor_03\03-01-07-01-02-02-03.wav,03-01-07-01-02-02-03.wav,disgust,03,normal,male
D://Speech Project//raw\Actor_03\03-01-07-02-01-01-03.wav,03-01-07-02-01-01-03.wav,disgust,03,strong,male
D://Speech Project//raw\Actor_03\03-01-07-02-01-02-03.wav,03-01-07-02-01-02-03.wav,disgust,03,strong,male
D://Speech Project//raw\Actor_03\03-01-07-02-02-01-03.wav,03-01-07-02-02-01-03.wav,disgust,03,strong,male
D://Speech Project//raw\Actor_03\03-01-07-02-02-02-03.wav,03-01-07-02-02-02-03.wav,disgust,03,strong,male
D://Speech Project//raw\Actor_03\03-01-08-01-01-01-03.wav,03-01-08-01-01-01-03.wav,surprised,03,normal,male
D://Speech Project//raw\Actor_03\03-01-08-01-01-02-03.wav,03-01-08-01-01-02-03.wav,surprised,03,normal,male
D://Speech Project//raw\Actor_03\03-01-08-01-02-01-03.wav,03-01-08-01-02-01-03.wav,surprised,03,normal,male
D://Speech Project//raw\Actor_03\03-01-08-01-02-02-03.wav,03-01-08-01-02-02-03.wav,surprised,03,normal,male
D://Speech Project//raw\Actor_03\03-01-08-02-01-01-03.wav,03-01-08-02-01-01-03.wav,surprised,03,strong,male
D://Speech Project//raw\Actor_03\03-01-08-02-01-02-03.wav,03-01-08-02-01-02-03.wav,surprised,03,strong,male
D://Speech Project//raw\Actor_03\03-01-08-02-02-01-03.wav,03-01-08-02-02-01-03.wav,surprised,03,strong,male
D://Speech Project//raw\Actor_03\03-01-08-02-02-02-03.wav,03-01-08-02-02-02-03.wav,surprised,03,strong,male
D://Speech Project//raw\Actor_04\03-01-01-01-01-01-04.wav,03-01-01-01-01-01-04.wav,neutral,04,normal,female
D://Speech Project//raw\Actor_04\03-01-01-01-01-02-04.wav,03-01-01-01-01-02-04.wav,neutral,04,normal,female
D://Speech Project//raw\Actor_04\03-01-01-01-02-01-04.wav,03-01-01-01-02-01-04.wav,neutral,04,normal,female
D://Speech Project//raw\Actor_04\03-01-01-01-02-02-04.wav,03-01-01-01-02-02-04.wav,neutral,04,normal,female
D://Speech Project//raw\Actor_04\03-01-02-01-01-01-04.wav,03-01-02-01-01-01-04.wav,calm,04,normal,female
D://Speech Project//raw\Actor_04\03-01-02-01-01-02-04.wav,03-01-02-01-01-02-04.wav,calm,04,normal,female
D://Speech Project//raw\Actor_04\03-01-02-01-02-01-04.wav,03-01-02-01-02-01-04.wav,calm,04,normal,female
D://Speech Project//raw\Actor_04\03-01-02-01-02-02-04.wav,03-01-02-01-02-02-04.wav,calm,04,normal,female
D://Speech Project//raw\Actor_04\03-01-02-02-01-01-04.wav,03-01-02-02-01-01-04.wav,calm,04,strong,female
D://Speech Project//raw\Actor_04\03-01-02-02-01-02-04.wav,03-01-02-02-01-02-04.wav,calm,04,strong,female
D://Speech Project//raw\Actor_04\03-01-02-02-02-01-04.wav,03-01-02-02-02-01-04.wav,calm,04,strong,female
D://Speech Project//raw\Actor_04\03-01-02-02-02-02-04.wav,03-01-02-02-02-02-04.wav,calm,04,strong,female
D://Speech Project//raw\Actor_04\03-01-03-01-01-01-04.wav,03-01-03-01-01-01-04.wav,happy,04,normal,female
D://Speech Project//raw\Actor_04\03-01-03-01-01-02-04.wav,03-01-03-01-01-02-04.wav,happy,04,normal,female
D://Speech Project//raw\Actor_04\03-01-03-01-02-01-04.wav,03-01-03-01-02-01-04.wav,happy,04,normal,female
D://Speech Project//raw\Actor_04\03-01-03-01-02-02-04.wav,03-01-03-01-02-02-04.wav,happy,04,normal,female
D://Speech Project//raw\Actor_04\03-01-03-02-01-01-04.wav,03-01-03-02-01-01-04.wav,happy,04,strong,female
D://Speech Project//raw\Actor_04\03-01-03-02-01-02-04.wav,03-01-03-02-01-02-04.wav,happy,04,strong,female
D://Speech Project//raw\Actor_04\03-01-03-02-02-01-04.wav,03-01-03-02-02-01-04.wav,happy,04,strong,female
D://Speech Project//raw\Actor_04\03-01-03-02-02-02-04.wav,03-01-03-02-02-02-04.wav,happy,04,strong,female
D://Speech Project//raw\Actor_04\03-01-04-01-01-01-04.wav,03-01-04-01-01-01-04.wav,sad,04,normal,female
D://Speech Project//raw\Actor_04\03-01-04-01-01-02-04.wav,03-01-04-01-01-02-04.wav,sad,04,normal,female
D://Speech Project//raw\Actor_04\03-01-04-01-02-01-04.wav,03-01-04-01-02-01-04.wav,sad,04,normal,female
D://Speech Project//raw\Actor_04\03-01-04-01-02-02-04.wav,03-01-04-01-02-02-04.wav,sad,04,normal,female
D://Speech Project//raw\Actor_04\03-01-04-02-01-01-04.wav,03-01-04-02-01-01-04.wav,sad,04,strong,female
D://Speech Project//raw\Actor_04\03-01-04-02-01-02-04.wav,03-01-04-02-01-02-04.wav,sad,04,strong,female
D://Speech Project//raw\Actor_04\03-01-04-02-02-01-04.wav,03-01-04-02-02-01-04.wav,sad,04,strong,female
D://Speech Project//raw\Actor_04\03-01-04-02-02-02-04.wav,03-01-04-02-02-02-04.wav,sad,04,strong,female
D://Speech Project//raw\Actor_04\03-01-05-01-01-01-04.wav,03-01-05-01-01-01-04.wav,angry,04,normal,female
D://Speech Project//raw\Actor_04\03-01-05-01-01-02-04.wav,03-01-05-01-01-02-04.wav,angry,04,normal,female
D://Speech Project//raw\Actor_04\03-01-05-01-02-01-04.wav,03-01-05-01-02-01-04.wav,angry,04,normal,female
D://Speech Project//raw\Actor_04\03-01-05-01-02-02-04.wav,03-01-05-01-02-02-04.wav,angry,04,normal,female
D://Speech Project//raw\Actor_04\03-01-05-02-01-01-04.wav,03-01-05-02-01-01-04.wav,angry,04,strong,female
D://Speech Project//raw\Actor_04\03-01-05-02-01-02-04.wav,03-01-05-02-01-02-04.wav,angry,04,strong,female
D://Speech Project//raw\Actor_04\03-01-05-02-02-01-04.wav,03-01-05-02-02-01-04.wav,angry,04,strong,female
D://Speech Project//raw\Actor_04\03-01-05-02-02-02-04.wav,03-01-05-02-02-02-04.wav,angry,04,strong,female
D://Speech Project//raw\Actor_04\03-01-06-01-01-01-04.wav,03-01-06-01-01-01-04.wav,fearful,04,normal,female
D://Speech Project//raw\Actor_04\03-01-06-01-01-02-04.wav,03-01-06-01-01-02-04.wav,fearful,04,normal,female
D://Speech Project//raw\Actor_04\03-01-06-01-02-01-04.wav,03-01-06-01-02-01-04.wav,fearful,04,normal,female
D://Speech Project//raw\Actor_04\03-01-06-01-02-02-04.wav,03-01-06-01-02-02-04.wav,fearful,04,normal,female
D://Speech Project//raw\Actor_04\03-01-06-02-01-01-04.wav,03-01-06-02-01-01-04.wav,fearful,04,strong,female
D://Speech Project//raw\Actor_04\03-01-06-02-01-02-04.wav,03-01-06-02-01-02-04.wav,fearful,04,strong,female
D://Speech Project//raw\Actor_04\03-01-06-02-02-01-04.wav,03-01-06-02-02-01-04.wav,fearful,04,strong,female
D://Speech Project//raw\Actor_04\03-01-06-02-02-02-04.wav,03-01-06-02-02-02-04.wav,fearful,04,strong,female
D://Speech Project//raw\Actor_04\03-01-07-01-01-01-04.wav,03-01-07-01-01-01-04.wav,disgust,04,normal,female
D://Speech Project//raw\Actor_04\03-01-07-01-01-02-04.wav,03-01-07-01-01-02-04.wav,disgust,04,normal,female
D://Speech Project//raw\Actor_04\03-01-07-01-02-01-04.wav,03-01-07-01-02-01-04.wav,disgust,04,normal,female
